ID	LABEL	Type	domain	inverse	Definition	Definition Source	Synonyms	Editors Notes
ID	LABEL 	TYPE	DOMAIN	PROPERTY_TYPE	A IAO:0000115	>A IAO:0000119	A http://www.geneontology.org/formats/oboInOwl#hasSynonym	A IAO:0000116
obo:LSDA_0000083	age	data property	obo:LSDA_0000033					
obo:LSDA_0000059	alias	data property	obo:LSDA_0000022					
obo:LSDA_0000061	availability	data property	obo:LSDA_0000021					
obo:LSDA_0000055	bio_cat_name	data property	obo:LSDA_0000033					
obo:LSDA_0000051	bio_id	data property	obo:LSDA_0000033					
obo:LSDA_0000084	bio_name	data property	obo:LSDA_0000033					
obo:LSDA_0000099	city	data property	obo:LSDA_0000031					
obo:LSDA_0000064	component_description	data property	obo:LSDA_0000036					
obo:LSDA_0000096	component_name	data property	obo:LSDA_0000036					
obo:LSDA_0000097	configuration_description	data property	obo:LSDA_0000036					
obo:LSDA_0000100	configuration_name	data property	obo:LSDA_0000036					
obo:LSDA_0000049	dataset_catalog	data property	obo:LSDA_0000021					
obo:LSDA_0000052	dataset_name	data property	obo:LSDA_0000021					
obo:LSDA_0000080	description	data property	obo:LSDA_0000022					
obo:LSDA_0000094	document_description	data property	obo:LSDA_0000028					
obo:LSDA_0000054	document_number	data property	obo:LSDA_0000028					
obo:LSDA_0000067	document_title	data property	obo:LSDA_0000028					
obo:LSDA_0000058	duration	data property	obo:LSDA_0000038					
obo:LSDA_0000077	durationRange	data property	obo:LSDA_0000038					
obo:LSDA_0000074	experiment_description	data property	obo:LSDA_0000022					
obo:LSDA_0000078	experiment_id	data property	obo:LSDA_0000022					
obo:LSDA_0000091	experiment_title	data property	obo:LSDA_0000022					
obo:LSDA_0000076	experiment_type	data property	obo:LSDA_0000022					
obo:LSDA_0000103	file_name	data property	obo:LSDA_0000044					
obo:LSDA_0000101	file_thumbnail	data property	obo:LSDA_0000044					
obo:LSDA_0000079	firstname	data property	obo:LSDA_0000031					
obo:LSDA_0000082	fixative	data property	obo:LSDA_0000033					
obo:LSDA_0000086	gender	data property	obo:LSDA_0000033					
obo:LSDA_0000069	hardware_description	data property	obo:LSDA_0000037					
obo:LSDA_0000066	hardware_name	data property	obo:LSDA_0000037					
obo:LSDA_0000098	hardware_type	data property	obo:LSDA_0000037					
obo:LSDA_0000081	image_id	data property	obo:LSDA_0000044					
obo:LSDA_0000085	institution_name	data property	obo:LSDA_0000047					
obo:LSDA_0000060	keyword	data property	obo:LSDA_0000044					
obo:LSDA_0000106	keywords	data property	obo:LSDA_0000022					
obo:LSDA_0000092	landDate	data property	obo:LSDA_0000038					
obo:LSDA_0000062	lastname	data property	obo:LSDA_0000031					
obo:LSDA_0000087	launchDate	data property	obo:LSDA_0000038					
obo:LSDA_0000073	location	data property	obo:LSDA_0000021					
obo:LSDA_0000107	middlename	data property	obo:LSDA_0000031					
obo:LSDA_0000088	mission_description	data property	obo:LSDA_0000038					
obo:LSDA_0000072	mission_id	data property	obo:LSDA_0000038					
obo:LSDA_0000093	nasa_center_code	data property	obo:LSDA_0000026					
obo:LSDA_0000063	organism	data property	obo:LSDA_0000034					
obo:LSDA_0000104	payload_name	data property	obo:LSDA_0000030					
obo:LSDA_0000090	payload_title	data property	obo:LSDA_0000030					
obo:LSDA_0000089	per_id	data property	obo:LSDA_0000031					
obo:LSDA_0000105	photo_description	data property	obo:LSDA_0000044					
obo:LSDA_0000057	program_name	data property	obo:LSDA_0000027					
obo:LSDA_0000095	proposal_date	data property	obo:LSDA_0000022					
obo:LSDA_0000071	proposal_source	data property	obo:LSDA_0000022					
obo:LSDA_0000075	protocol	data property	obo:LSDA_0000033					
obo:LSDA_0000102	protocol_approach	data property	obo:LSDA_0000033					
obo:LSDA_0000056	release_date	data property	obo:LSDA_0000021					
obo:LSDA_0000053	research_area	data property	obo:LSDA_0000021					
obo:LSDA_0000108	review	data property	obo:LSDA_0000021					
obo:LSDA_0000070	scientific_name	data property	obo:LSDA_0000034					
obo:LSDA_0000068	session_type	data property	obo:LSDA_0000033					
obo:LSDA_0000065	species	data property	obo:LSDA_0000034					
obo:LSDA_0000050	subject_id	data property	obo:LSDA_0000034					
