?cls	?xref
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1226"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1206"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:983"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:185"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1061"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"https://en.wikipedia.org/wiki/Wetland"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"TGN:21304"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:228"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"Geonames:H.WTLD"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1190"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"EcoLexicon:wetland"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1118"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1180"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"EcoLexicon:mine"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"Geonames:S.MN"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"TGN:54211"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"Geonames:L.MNA"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"FTT:968"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"FTT:14"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"TGN:54212"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"SWEETRealm:Rock"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"EcoLexicon:rock"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"Geonames:T.RKS"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"https://en.wikipedia.org/wiki/Rock"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"FTT:1010"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"FTT:145"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"Geonames:T.RK"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"TGN:21444"
<http://purl.obolibrary.org/obo/ENVO_00002214>	"SWEETRealm:PowerPlant"
<http://purl.obolibrary.org/obo/ENVO_00002214>	"https://en.wikipedia.org/wiki/Power_plant"
<http://purl.obolibrary.org/obo/ENVO_03000111>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/CHEBI_36963>	"PMID:17586126"
<http://purl.obolibrary.org/obo/PO_0009006>	"PO_GIT:135"
<http://purl.obolibrary.org/obo/PO_0009006>	"FNA:02756ad4-a09c-48d7-8754-903254e557a9"
<http://purl.obolibrary.org/obo/PO_0009006>	"FNA:d1431b5c-7b86-46a0-8d3c-bd426fe12c85"
<http://purl.obolibrary.org/obo/ENVO_00002271>	"https://en.wikipedia.org/wiki/Nuclear_power_plant"
<http://purl.obolibrary.org/obo/PO_0009013>	"PO_GIT:472"
<http://purl.obolibrary.org/obo/PO_0000037>	"PO_GIT:234"
<http://purl.obolibrary.org/obo/ENVO_00002016>	"https://en.wikipedia.org/wiki/Sedimentary_rock"
<http://purl.obolibrary.org/obo/ENVO_00002016>	"SWEETRealm:SedimentaryRock"
<http://purl.obolibrary.org/obo/ENVO_00002016>	"EcoLexicon:sedimentary_rock"
<http://purl.obolibrary.org/obo/ENVO_01001176>	"http://purl.jp/bio/11/meo/MEO_0000871"
<http://purl.obolibrary.org/obo/ENVO_02000094>	<https://en.wikipedia.org/wiki/Ore>
<http://purl.obolibrary.org/obo/PO_0025497>	"PO_GIT:479"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"TGN:21453"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"FTT:949"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"FTT:158"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"EcoLexicon:valley"
