?prefix	?numberOfClasses
"ENVO"	674
"OBIB"	6
"UO"	529
"RBO"	343
"SO"	2
"RO"	1
"PCO"	6
"PO"	34
"OGMS"	1
"NCBITaxon"	36
"CHEBI"	250
"OBI"	191
"TAXRANK"	73
"T4FS"	1
"IAO"	20
"CHMO"	4
"BFO"	19
"OMRSE"	3
"GENO"	17
"ExO"	12
"UBERON"	43
""	104
"SLSO"	44
"GO"	16
"SWO"	1
"PATO"	93
